"time","sampler1.y"
0,0
0,0
0,0
5.050356284942133e-5,0
5.050356284942133e-5,0
5.2241807465039754e-5,0
5.2241807465039754e-5,0
5.650533876561014e-5,0
5.650533876561014e-5,0
6.671007921995163e-5,0
6.671007921995163e-5,0
9.765625e-5,0
9.765625e-5,0.05098870070227334
1.953125e-4,0.05098870070227334
1.953125e-4,0.5765109510289117
2.9296875e-4,0.5765109510289117
2.9296875e-4,2.025404606530509
3.90625e-4,2.025404606530509
3.90625e-4,4.362392121490683
4.8828125e-4,4.362392121490683
4.8828125e-4,7.131655587169889
5.859375e-4,7.131655587169889
5.859375e-4,9.744262307148471
6.8359375e-4,9.744262307148471
6.8359375e-4,11.737438671648972
7.8125e-4,11.737438671648972
7.8125e-4,12.9048524951294
8.7890625e-4,12.9048524951294
8.7890625e-4,13.295587991333516
9.765625e-4,13.295587991333516
9.765625e-4,13.129085750781726
0.001,13.129085750781726
0.00107421875,13.129085750781726
0.00107421875,12.6835519188847
0.001171875,12.6835519188847
0.001171875,12.202769471835923
0.00126953125,12.202769471835923
0.00126953125,11.84369026901149
0.0013671875,11.84369026901149
0.0013671875,11.666335582769452
0.00146484375,11.666335582769452
0.00146484375,11.654239685251065
0.0015625,11.654239685251065
0.0015625,11.748626884141885
0.00166015625,11.748626884141885
0.00166015625,11.881716330373246
0.0017578125,11.881716330373246
0.0017578125,11.999930260244284
0.00185546875,11.999930260244284
0.00185546875,12.074199196554876
0.001953125,12.074199196554876
0.001953125,12.099221382324108
0.002,12.099221382324108
0.00205078125,12.099221382324108
0.00205078125,12.08607753026498
0.0021484375,12.08607753026498
0.0021484375,12.0528475115416
0.00224609375,12.0528475115416
0.00224609375,12.016706646426426
0.00234375,12.016706646426426
0.00234375,11.989255143991985
0.00244140625,11.989255143991985
0.00244140625,11.975222501720234
0.0025390625,11.975222501720234
0.0025390625,11.973663687840883
0.00263671875,11.973663687840883
0.00263671875,11.980356674317218
0.002734375,11.980356674317218
0.002734375,11.990260144457574
0.00283203125,11.990260144457574
0.00283203125,11.999287384594147
0.0029296875,11.999287384594147
0.0029296875,12.005138514387877
0.003,12.005138514387877
0.00302734375,12.005138514387877
0.00302734375,12.007300431890055
0.003125,12.007300431890055
0.003125,12.006526250588447
0.00322265625,12.006526250588447
0.00322265625,12.004141854529106
0.0033203125,12.004141854529106
0.0033203125,12.00144497404743
0.00341796875,12.00144497404743
0.00341796875,11.99933802415183
0.003515625,11.99933802415183
0.003515625,11.998213395140311
0.00361328125,11.998213395140311
0.00361328125,11.998030422775606
0.0037109375,11.998030422775606
0.0037109375,11.998489499609278
0.00380859375,11.998489499609278
0.00380859375,11.999216344392007
