"time","lowpassButterworth1.y"
0,0
0,0
0,0
5.050391006160119e-5,2.9147370505540376e-4
5.050391006160119e-5,2.9147370505540376e-4
5.224220548697008e-5,3.3276213287637766e-4
5.224220548697008e-5,3.3276213287637766e-4
5.650649156045006e-5,4.522325646781192e-4
5.650649156045006e-5,4.522325646781192e-4
6.671178229352902e-5,8.637354044357161e-4
6.671178229352902e-5,8.637354044357161e-4
1.953125e-4,0.05098545991093866
1.953125e-4,0.05098545991093866
3.90625e-4,0.5765090012630254
3.90625e-4,0.5765090012630254
5.859375e-4,2.025404385355788
5.859375e-4,2.025404385355788
7.8125e-4,4.3623928554381655
7.8125e-4,4.3623928554381655
9.765625e-4,7.1316553417196005
9.765625e-4,7.1316553417196005
0.001,7.464510308749249
0.001171875,9.744264857301522
0.001171875,9.744264857301522
0.0013671875,11.737445368621334
0.0013671875,11.737445368621334
0.0015625,12.904848135661062
0.0015625,12.904848135661062
0.0017578125,13.295591906604734
0.0017578125,13.295591906604734
0.001953125,13.129093998855453
0.001953125,13.129093998855453
0.002,13.037311479865329
0.0021484375,12.683559690508057
0.0021484375,12.683559690508057
0.00234375,12.202773197945598
0.00234375,12.202773197945598
0.0025390625,11.84369072593567
0.0025390625,11.84369072593567
0.002734375,11.666335716366667
0.002734375,11.666335716366667
0.0029296875,11.654236285576456
0.0029296875,11.654236285576456
0.003,11.679584750653387
0.003125,11.748622011806484
0.003125,11.748622011806484
0.0033203125,11.881711718204068
0.0033203125,11.881711718204068
0.003515625,11.999928036070125
0.003515625,11.999928036070125
0.0037109375,12.074199154494126
0.0037109375,12.074199154494126
0.00390625,12.099222661403527
0.00390625,12.099222661403527
0.004,12.09662251304446
0.0041015625,12.086079105544195
0.0041015625,12.086079105544195
0.004296875,12.052848779817028
0.004296875,12.052848779817028
0.0044921875,12.016707262256025
0.0044921875,12.016707262256025
0.0046875,11.989255075541589
0.0046875,11.989255075541589
0.0048828125,11.97522219214014
0.0048828125,11.97522219214014
0.005,11.973017274607884
0.005078125,11.973663055833292
0.005078125,11.973663055833292
0.0052734375,11.980355941363117
0.0052734375,11.980355941363117
0.00546875,11.990259528446852
0.00546875,11.990259528446852
0.0056640625,11.999287032226256
0.0056640625,11.999287032226256
0.005859375,12.00513848576562
0.005859375,12.00513848576562
0.006,12.007040050013238
0.0060546875,12.007300608495306
0.0060546875,12.007300608495306
0.00625,12.006526508989172
0.00625,12.006526508989172
0.0064453125,12.004142087202112
0.0064453125,12.004142087202112
0.006640625,12.001445122396214
0.006640625,12.001445122396214
0.0068359375,11.999338074282617
0.0068359375,11.999338074282617
0.007,11.998324863957295
0.00703125,11.998213349835227
0.00703125,11.998213349835227
