"time","virtualBench_layout_v1.acc_x"
0.022,-0.054294524525097226
0.0220703125,-0.0857448178427174
0.0220703125,-0.0857448178427174
0.022265625,-0.08809870620935287
0.022265625,-0.08809870620935287
0.0224609375,0.014395162556395051
0.0224609375,0.014395162556395051
0.02265625,0.09959245538485442
0.02265625,0.09959245538485442
0.0228515625,0.051972750215923666
0.0228515625,0.051972750215923666
0.023,-0.037136359090610305
0.023046875,-0.05991997612895451
0.023046875,-0.05991997612895451
0.0232421875,-0.06795466302157535
0.0232421875,-0.06795466302157535
0.0234375,0.04971311723703256
0.0234375,0.04971311723703256
0.0236328125,0.11865688584062534
0.0236328125,0.11865688584062534
0.023828125,0.016320758670426427
0.023828125,0.016320758670426427
0.024,-0.09929846492619761
0.0240234375,-0.1075198480797212
0.0240234375,-0.1075198480797212
0.02421875,-0.07436200386699998
0.02421875,-0.07436200386699998
0.0244140625,0.050349019149084684
0.0244140625,0.050349019149084684
0.024609375,0.06792321102677071
0.024609375,0.06792321102677071
0.0248046875,-0.041604758470625475
0.0248046875,-0.041604758470625475
0.025,-0.09976031181414632
0.025,-0.09976031181414632
0.0251953125,-0.01733186760316938
0.0251953125,-0.01733186760316938
0.025390625,0.0860666442618171
0.025390625,0.0860666442618171
0.0255859375,0.06385871730894492
0.0255859375,0.06385871730894492
0.02578125,-0.028807241270743588
0.02578125,-0.028807241270743588
0.0259765625,-0.039760512895821165
0.0259765625,-0.039760512895821165
0.026,-0.03325389854756761
0.026171875,0.033519258041293055
0.026171875,0.033519258041293055
0.0263671875,0.05582877437617946
0.0263671875,0.05582877437617946
0.0265625,-0.010048175038812425
0.0265625,-0.010048175038812425
0.0267578125,-0.05494029934462538
0.0267578125,-0.05494029934462538
0.026953125,-0.023501499533501863
0.026953125,-0.023501499533501863
0.027,-0.011579801831887504
0.0271484375,0.01162977191605609
0.0271484375,0.01162977191605609
0.02734375,-0.006694124005380185
0.02734375,-0.006694124005380185
0.0275390625,-0.028445747520011264
0.0275390625,-0.028445747520011264
0.027734375,-0.004179073984002697
0.027734375,-0.004179073984002697
0.0279296875,0.02713463989491894
0.0279296875,0.02713463989491894
0.028,0.028256099628928187
0.028125,0.016870081322592836
0.028125,0.016870081322592836
0.0283203125,-0.0014390824571746813
0.0283203125,-0.0014390824571746813
0.028515625,0.015604229653889745
0.028515625,0.015604229653889745
0.0287109375,0.031332223871142
0.0287109375,0.031332223871142
0.02890625,5.795942128009185e-4
0.02890625,5.795942128009185e-4
0.029,-0.02027504822952257
0.0291015625,-0.03336489081202381
0.0291015625,-0.03336489081202381
0.029296875,-0.01580367085481412
0.029296875,-0.01580367085481412
0.0294921875,0.014546882917011686
0.0294921875,0.014546882917011686
0.0296875,-0.004406981132495491
0.0296875,-0.004406981132495491
0.0298828125,-0.04011972523952948
0.0298828125,-0.04011972523952948
0.03,-0.037128676279283436
0.030078125,-0.022182396064399604
0.030078125,-0.022182396064399604
0.0302734375,0.028621990685897478
0.0302734375,0.028621990685897478
0.03046875,0.03327804391255849
0.03046875,0.03327804391255849
0.0306640625,-0.006608368313023867
0.0306640625,-0.006608368313023867
0.030859375,-0.013867261056387789
