"time","acc_x"
0,-0
5.035165265211776e-5,4.6520389791755835e-7
5.035165265211776e-5,1.9651836551874704e-6
5.2105182012044295e-5,2.3818466777630746e-6
5.2105182012044295e-5,-1.9371728979764622e-6
5.639602572906939e-5,-3.0233750071639002e-6
5.639602572906939e-5,3.593746884270558e-6
6.663360520181039e-5,9.230503842919837e-6
6.663360520181039e-5,1.113402194214954e-6
0.001,-0.17274942066489463
0.002,-0.5151477123263132
0.003,-0.4297542817597684
0.004,-0.31379239748778254
0.005,0.16497074753150778
0.006,0.21539017389984333
0.007,-0.0466481237796032
0.008,0.09185584628148474
0.009,0.09596569485285361
0.01,0.08856902512681512
0.011,-0.06215891810367443
0.012,-0.13222780518596441
0.013,0.01418786125860308
0.014,-0.025401456610501166
0.015,0.010796812854644244
0.016,-0.014642638760177074
0.017,-0.06917043365683495
0.018,6.110469827484005e-4
0.019,-0.040694931153734265
0.02,-0.03537178615751056
0.020217177617922917,-0.012886169470726511
0.020217177617922917,-0.012894286572383807
0.020223941642965735,-0.011098166770628989
0.020223941642965735,-0.01110478389252536
0.02022646000992373,-0.01062783477384691
0.02022646000992373,-0.010632153793426382
0.020228072282410546,-0.010385688978104072
0.020228072282410546,-0.01038718895786402
0.020229476546521616,-0.010352555202665375
0.020229476546521616,-0.01035105522290328
0.02023105847920841,-0.010491762067066559
0.02023105847920841,-0.01048744304748836
0.0202334382283697,-0.010763603795390476
0.0202334382283697,-0.010756986673496623
0.0202391523350727,-0.011731043702436847
0.0202391523350727,-0.011722926600786278
0.02036900879321734,0.004320034981643349
0.02036900879321734,0.004328673020795277
0.021,0.027883524877455546
0.021164626089602054,-0.02303151480322939
0.021164626089602054,-0.023040152842381874
0.022,-0.019122734683071022
0.023,1.2132121296158649e-5
0.024,-0.007100185644073317
0.025,-0.04169064502033262
0.026,-0.0038729012664780356
0.027,-0.006900455332708055
0.028,0.006746677409050751
0.029,-0.005848097220672373
0.03,-0.02540819671464127
0.031,0.0021222969079119428
0.032,0.00717698065910672
0.033,0.005512195721990548
0.034,-0.0019514711135951712
0.035,0.0013211383867257481
0.036,0.008297985949947198
0.037,-0.01033831124070303
0.038,-0.0029602392139171513
0.039,0.004823220055901564
0.04,-0.0010943302030440305
0.041,-8.099717305251886e-4
0.042,0.0032583047215815064
0.043,0.00203790395956982
0.044,-0.005490536974997337
0.045,0.001849535111229289
0.046,7.299614888400252e-4
0.047,-0.0017426868137901674
0.048,0.0014603484941939915
0.049,0.0038433221002948104
0.05,-0.0036782471185059645
0.051,-0.002259024404748164
0.052,0.00437493271633016
0.053,-0.0031495295946200735
0.054,0.002518172115573744
0.055,-6.827919138873151e-4
0.056,-0.001091431526003217
0.057,0.0018988435847992202
0.058,-6.790380684552344e-4
0.059,-5.074350549555268e-4
0.06,0.0024776234324595664
0.061,-0.001680636082832615
0.062,-0.0010715576670183857
0.063,0.0028122684955402544
0.064,-0.0022198203234949643
0.065,0.0012099022504667989
0.066,0.002964978267296914
0.067,-0.003551225283188436
0.068,0.003488985540504086
0.069,-0.003593997902019752
0.07,0.00464090263748515
0.071,-0.0036178665616222183
0.072,0.003772645253126067
0.073,-0.003358931619042632
0.074,0.0025181833747628113
0.075,-0.0024725538811670167
0.076,0.0017593973089309323
0.077,-8.204021890820257e-5
0.078,6.221671943744123e-4
0.079,-0.0010536675234518456
0.08,6.648121549714114e-4
0.081,2.769294106725051e-4
0.082,-0.0019419870041181009
0.083,0.003055639918757125
0.084,-0.0036275915085641763
0.085,0.004881015874220823
0.086,-0.005675194765969838
0.087,0.006083473783650761
0.088,-0.005723476210145462
0.089,0.004575199265827362
0.09,-0.0037857548055264256
0.091,0.002907901961795689
0.092,-0.0030003418400882664
0.093,0.001865894528919776
0.094,-3.200666533416663e-4
0.095,3.8179875671542907e-4
0.096,-0.003157943289807924
0.097,0.004448620579473039
0.098,-0.00461770630399394
0.099,0.0050991357814839655
0.1,-0.005445024472782001
0.101,0.006152533023682183
0.102,-0.003346533080343078
0.103,0.0033020183228172073
0.104,-0.0034182294801780033
0.105,0.0032788687520018123
0.106,-0.002514442006668449
0.107,8.424986762231579e-4
0.108,0.0010844777589202326
0.109,-0.0032317724801535497
0.11,0.0037965991992322534
0.111,-0.003980225819375405
0.112,0.003905038436038677
0.113,-0.0033352550213285315
0.114,0.0027623829494282104
0.115,-0.004371398642958935
0.116,0.004515583685916924
0.117,-0.002085977158388458
0.118,-0.002390682953841927
0.119,0.003796232894880097
0.12,-0.0032252260971971924
0.121,0.0038596231067117293
0.122,-0.0064077258000477255
0.123,0.0035884743921426043
0.124,-2.0902218155061103e-4
0.125,5.315027342929213e-4
0.126,-0.001604916109367971
0.127,0.003061139344508107
0.128,-0.004130878922373793
0.129,0.0019657174581568237
0.13,-0.0014385945988042437
0.131,-0.001573533693896012
0.132,0.005610071298030261
0.133,-0.005310244561658212
0.134,8.28409923447404e-4
0.135,-2.811490904670033e-4
0.136,-0.0020471944543885845
0.137,0.002356283234655615
0.138,-0.0029411225748429692
0.139,0.004945350515255881
0.14,-0.004710827179453286
0.141,0.006111434571337643
0.142,-0.00627867715158012
0.143,0.005078478601590886
0.144,-0.0010854341379855081
0.145,-0.004461314575295194
0.146,0.0052758053767908986
0.147,-0.0033335068975227644
0.148,0.0025496511683237855
0.149,-0.004323778842946491
0.15,0.005136760849702937
0.151,-0.004225429250901025
0.152,0.004062300989390144
0.153,-0.002939167392537523
0.154,0.0016872704222635204
0.155,-0.0012188157538387534
0.156,1.3024822544949188e-4
0.157,0.002687284588752281
0.158,-0.005519821759522647
0.159,0.0034143393541821165
0.16,6.268146583110479e-5
